1;1.812;3.453;6.032
2;1.454;3.516;6.173
3;2.094;3.484;6.077
4;1.328;3.635;6.000
5;1.407;3.575;6.017
6;1.375;3.505;5.973
7;1.328;3.484;6.033
8;1.453;3.829;5.985
9;1.312;3.500;6.025
10;1.313;3.454;6.069
11;1.282;3.469;5.951
12;1.235;3.572;5.953
13;1.172;3.546;5.957
14;1.312;3.437;5.812
15;1.297;3.438;5.901
16;1.203;3.445;6.119
17;1.203;3.406;5.982
18;1.125;3.406;5.917
19;1.188;3.454;6.016
20;1.312;3.672;5.954
21;1.234;3.559;5.969
22;1.421;3.469;5.969
23;1.234;3.422;5.860
24;1.297;3.429;5.806
25;1.125;3.441;6.110
26;1.188;3.572;5.955
27;1.312;3.469;6.125
28;1.250;3.375;6.026
29;1.297;3.356;5.813
30;1.203;3.500;5.826
